thold | t0 | tdiff | zeta | trend |
40000 | 49194 | 1898 | 31.876312381454166 | inverse |
40000 | 235916 | 4439 | 313.4509971615229 | inverse |
40000 | 274183 | 34463 | 54.53407820633723 | saturating |
40000 | 197452 | 7768 | 125.47403547888774 | inverse |
20000 | 26191 | 9779 | 3.507354949381327 | saturating |
40000 | 45219 | 1592 | 32.10989260364321 | inverse |
40000 | 26484 | 4809 | 3.6462999376169685 | saturating |
40000 | 262977 | 4766 | 362.7617631609316 | saturating |
10000 | 273224 | 4458 | 1674.5480972633468 | saturating |
10000 | 262006 | 6759 | 1015.6405390738275 | saturating |
10000 | 195933 | 3908 | 982.337269421699 | saturating |
40000 | 240633 | 9905 | 146.14901738768302 | saturating |
40000 | 69729 | 27045 | 4.494484600665557 | saturating |
40000 | 87073 | 1826 | 103.80212662924426 | inverse |
40000 | 266797 | 14297 | 124.46778906239072 | saturating |
40000 | 232875 | 35195 | 38.52164059170337 | saturating |
10000 | 74628 | 7855 | 70.90182538510503 | saturating |
40000 | 131413 | 24165 | 17.86610445789365 | saturating |
10000 | 8115 | 3041 | 2.1655121670503124 | saturating |
20000 | 287789 | 5207 | 795.2996785193009 | inverse |
40000 | 90779 | 7519 | 27.400009446069955 | saturating |
40000 | 75058 | 38390 | 3.6687310263089348 | saturating |
10000 | 211139 | 3411 | 1306.9386491058342 | saturating |
10000 | 141761 | 3042 | 660.6239684746877 | saturating |
40000 | 274225 | 17907 | 104.9859700466298 | saturating |
40000 | 291085 | 29689 | 71.34837585048334 | saturating |
40000 | 148808 | 19585 | 28.266301843247387 | saturating |
40000 | 128204 | 9162 | 44.84901117659899 | inverse |
20000 | 256694 | 10497 | 313.8601964180242 | saturating |
20000 | 233070 | 1007 | 2697.200839126117 | inverse |
40000 | 42698 | 16171 | 2.818501026528972 | saturating |
40000 | 67970 | 17312 | 6.6715586009704255 | saturating |
40000 | 57349 | 5768 | 14.254974865638003 | saturating |
20000 | 24184 | 3514 | 8.32193875924872 | inverse |
40000 | 282949 | 21826 | 91.70271304980298 | saturating |
20000 | 166180 | 17364 | 79.52024994240956 | saturating |
40000 | 165780 | 11609 | 59.18470238607976 | inverse |
10000 | 144654 | 1007 | 2077.93244448858 | saturating |
40000 | 49512 | 10209 | 6.003129944166911 | inverse |
40000 | 227694 | 20485 | 63.271366409567975 | saturating |
40000 | 225284 | 27721 | 45.77114881858519 | saturating |
40000 | 95647 | 25301 | 9.039512873997076 | saturating |
20000 | 176012 | 15746 | 98.37490201956052 | saturating |
40000 | 279944 | 35907 | 54.56362487537249 | saturating |
10000 | 232639 | 3916 | 1382.0455648876405 | saturating |
10000 | 20258 | 6383 | 6.429368071439761 | saturating |
40000 | 209484 | 25081 | 43.74182275028907 | saturating |
40000 | 111982 | 30611 | 10.241390614484988 | saturating |
10000 | 65150 | 6188 | 68.59280058177117 | saturating |
40000 | 208703 | 2817 | 386.5543327032304 | saturating |
40000 | 237386 | 4282 | 329.0057975011677 | saturating |
40000 | 244065 | 13034 | 114.25449636527544 | saturating |
20000 | 276501 | 18600 | 205.51828763709676 | saturating |
40000 | 223687 | 36412 | 34.35397257016918 | saturating |
10000 | 209528 | 1384 | 3172.1085826589597 | saturating |
10000 | 94010 | 8641 | 102.27844115264436 | saturating |
20000 | 156148 | 17270 | 70.5911925419803 | saturating |
40000 | 121175 | 15907 | 23.076916805494434 | saturating |
40000 | 269067 | 39701 | 45.58893383604947 | saturating |
20000 | 215114 | 5652 | 409.3598106510969 | inverse |
10000 | 287426 | 3508 | 2355.008707981756 | saturating |
20000 | 96015 | 12319 | 37.41732374786915 | saturating |
20000 | 57374 | 14382 | 11.444082450285078 | saturating |
40000 | 170607 | 13900 | 52.35026699460432 | saturating |
10000 | 150076 | 7419 | 303.5827709394797 | saturating |
10000 | 294864 | 1025 | 8482.417414243902 | inverse |
40000 | 179595 | 7925 | 101.7487824132492 | inverse |
10000 | 292475 | 7233 | 1182.6576195907646 | saturating |
40000 | 269535 | 6223 | 291.85728838582673 | inverse |
20000 | 266694 | 1529 | 2325.889131327665 | saturating |
40000 | 148346 | 29522 | 18.635708722308788 | saturating |
40000 | 136030 | 38699 | 11.95390119899739 | saturating |
40000 | 105064 | 30564 | 9.028958984426122 | saturating |
20000 | 120044 | 7646 | 94.23595302118756 | saturating |
20000 | 133807 | 12332 | 72.5929015934155 | saturating |
40000 | 272404 | 12478 | 148.66953681679757 | saturating |
20000 | 145373 | 5290 | 199.74772333648394 | saturating |
20000 | 236549 | 12502 | 223.78591185810274 | saturating |
20000 | 82011 | 870 | 386.54046672413796 | saturating |
20000 | 123223 | 8272 | 91.77893936774662 | saturating |
20000 | 112645 | 15379 | 41.253969780219784 | saturating |
20000 | 298841 | 2505 | 1782.5537581037925 | saturating |
40000 | 33254 | 15275 | 1.8098666382978725 | saturating |
20000 | 43471 | 6826 | 13.842131856138296 | saturating |
20000 | 273573 | 4103 | 912.0422413965391 | saturating |
10000 | 229293 | 4314 | 1218.713023852573 | saturating |
10000 | 297185 | 8546 | 1033.4533609290897 | saturating |
20000 | 165655 | 5525 | 248.34008167420814 | inverse |
40000 | 211332 | 12936 | 86.31187040816327 | saturating |
40000 | 206850 | 37621 | 28.43287160096754 | saturating |
10000 | 279313 | 8303 | 939.6092011200772 | saturating |
40000 | 94241 | 3980 | 55.78747538316583 | saturating |
40000 | 193283 | 17830 | 52.381264847167685 | saturating |
20000 | 92125 | 8190 | 51.8132822039072 | saturating |
40000 | 162318 | 27286 | 24.13979066554277 | saturating |
20000 | 21477 | 2751 | 8.383524700109051 | saturating |
20000 | 175526 | 15313 | 100.59876143146347 | saturating |
40000 | 247016 | 38751 | 39.364728817320845 | saturating |
40000 | 159594 | 27651 | 23.028321612238255 | saturating |
40000 | 196202 | 34541 | 27.861979100199765 | saturating |
40000 | 84895 | 13424 | 13.42215625931168 | saturating |
10000 | 233646 | 3342 | 1633.4665863554758 | saturating |
20000 | 147881 | 3355 | 325.9134152160954 | saturating |
40000 | 148477 | 891 | 618.5583481762066 | inverse |
40000 | 97075 | 19359 | 12.169476244899013 | saturating |
40000 | 273514 | 7912 | 236.38115582659253 | saturating |
20000 | 208049 | 15442 | 140.15149074277943 | saturating |
40000 | 180099 | 5826 | 139.1849030252317 | inverse |
40000 | 178746 | 18611 | 42.91834468325184 | saturating |
40000 | 54112 | 23221 | 3.1524358813143274 | saturating |
10000 | 66023 | 6445 | 67.634391450737 | saturating |
40000 | 159252 | 13062 | 48.54003886081764 | inverse |
40000 | 254289 | 30966 | 52.20475321400891 | saturating |
40000 | 70145 | 23649 | 5.201404948412195 | saturating |
20000 | 51438 | 1439 | 91.93425448227936 | saturating |
20000 | 104571 | 9141 | 59.81344514276338 | saturating |
40000 | 73249 | 25467 | 5.267027919464406 | saturating |
40000 | 75232 | 20856 | 6.784443114691216 | saturating |
20000 | 227470 | 16461 | 157.1672465220825 | saturating |
40000 | 150822 | 29102 | 19.540990038485326 | saturating |
20000 | 217144 | 1206 | 1954.872169817579 | inverse |
40000 | 206705 | 30144 | 35.435706131402604 | saturating |
40000 | 282408 | 8729 | 228.4175692060946 | saturating |
20000 | 286827 | 9962 | 412.917727007629 | saturating |
20000 | 118263 | 11405 | 61.31581398071021 | saturating |
40000 | 247103 | 23203 | 65.78879089880618 | saturating |
40000 | 184606 | 1234 | 690.4249440032414 | saturating |
40000 | 168454 | 21420 | 33.119456251167136 | saturating |
40000 | 63709 | 12188 | 8.325477274778471 | saturating |
10000 | 296448 | 6870 | 1279.2054833187774 | saturating |
40000 | 142649 | 33293 | 15.280041751269035 | saturating |
20000 | 123904 | 19039 | 40.31777198382268 | saturating |
10000 | 18290 | 9319 | 3.5896995385771002 | saturating |
40000 | 204037 | 2852 | 364.928974132188 | inverse |
20000 | 228238 | 9124 | 285.47010436212184 | saturating |
20000 | 228178 | 12376 | 210.34744539431156 | saturating |
20000 | 241457 | 585 | 4983.032722136752 | inverse |
40000 | 185996 | 6378 | 135.60094079648792 | saturating |
40000 | 148558 | 29596 | 18.642282203676174 | saturating |
10000 | 60683 | 3251 | 113.27057794524762 | inverse |
40000 | 156263 | 4947 | 123.39865155144533 | saturating |
40000 | 99782 | 24677 | 10.086768573975766 | saturating |
40000 | 78020 | 17036 | 8.932731274947171 | saturating |
40000 | 57934 | 26373 | 3.1816141091267585 | saturating |
40000 | 154968 | 9002 | 66.69373756942902 | inverse |
20000 | 245211 | 237 | 12685.323738607594 | inverse |
40000 | 123587 | 15989 | 23.88164764681969 | saturating |
40000 | 141889 | 24831 | 20.269510210019735 | saturating |
40000 | 284517 | 36274 | 55.790596080525994 | saturating |
10000 | 127732 | 3102 | 525.9659517730496 | inverse |
20000 | 186880 | 10475 | 166.7023121718377 | saturating |
40000 | 36338 | 23535 | 1.4026452560016995 | saturating |
20000 | 83107 | 4893 | 70.57810595749031 | saturating |
40000 | 148609 | 8718 | 63.3305657289516 | inverse |
40000 | 44374 | 12754 | 3.8596751528932103 | inverse |
40000 | 147880 | 28440 | 19.22336005625879 | saturating |
20000 | 60003 | 9081 | 19.823587760158574 | saturating |
