thold | t0 | tdiff | zeta | trend |
40000 | 23689 | 328986 | 0.042643814706400884 | inverse |
20000 | 14840 | 336634 | 0.03270994611358329 | inverse |
40000 | 5411 | 99262 | 0.007374151487981302 | inverse |
40000 | 19794 | 104457 | 0.09377122548034118 | inverse |
10000 | 9167 | 384312 | 0.021866059087408147 | inverse |
20000 | 17698 | 330275 | 0.04741794020134736 | inverse |
40000 | 13934 | 181519 | 0.026740500443479746 | inverse |
40000 | 30801 | 413572 | 0.0573480313585059 | inverse |
40000 | 14463 | 364257 | 0.01435650989548588 | inverse |
20000 | 18174 | 402301 | 0.04105064068943403 | inverse |
40000 | 36214 | 382896 | 0.0856272849546613 | inverse |
20000 | 10120 | 112609 | 0.04547345238835262 | inverse |
20000 | 15959 | 269658 | 0.047224573533883665 | inverse |
40000 | 5600 | 211360 | 0.0037093111279333842 | inverse |
40000 | 18759 | 311772 | 0.028217742533004887 | inverse |
40000 | 35019 | 134853 | 0.2273457692821072 | inverse |
40000 | 5346 | 387179 | 0.0018453813352480378 | inverse |
40000 | 20951 | 412266 | 0.026617790516317134 | inverse |
40000 | 5660 | 303050 | 0.002642765220260683 | inverse |
10000 | 9909 | 266946 | 0.03678207615023263 | inverse |
40000 | 26700 | 27044 | 0.6590093921017601 | saturating |
20000 | 10554 | 88965 | 0.06260153768335862 | inverse |
40000 | 37996 | 39315 | 0.9180312959430242 | saturating |
20000 | 14301 | 105996 | 0.09647467876146269 | inverse |
40000 | 7819 | 25530 | 0.05986756854680768 | saturating |
40000 | 6963 | 39350 | 0.03080264866581957 | inverse |
20000 | 8659 | 228674 | 0.016394142097483754 | inverse |
20000 | 18940 | 409619 | 0.04378747079603241 | inverse |
20000 | 11497 | 161787 | 0.040850318319766106 | inverse |
40000 | 21557 | 292118 | 0.039770251148508476 | inverse |
40000 | 6200 | 348967 | 0.002753842053833171 | inverse |
10000 | 9056 | 227487 | 0.03605091104107048 | inverse |
40000 | 29583 | 65860 | 0.3322023568934102 | saturating |
40000 | 33425 | 75798 | 0.3684894802633315 | saturating |
40000 | 12724 | 239837 | 0.016876063326342474 | inverse |
20000 | 6212 | 147880 | 0.01304738436570192 | inverse |
40000 | 34716 | 302429 | 0.09962674346706168 | inverse |
20000 | 10546 | 267717 | 0.020771582678724174 | inverse |
10000 | 6537 | 378293 | 0.011296103549365173 | inverse |
40000 | 29658 | 134193 | 0.1638678925130223 | inverse |
20000 | 15655 | 120222 | 0.10192769418242917 | inverse |
40000 | 39065 | 82629 | 0.46172476521560224 | saturating |
20000 | 11452 | 110380 | 0.05940763906504802 | inverse |
40000 | 14174 | 340872 | 0.014734436680044122 | inverse |
20000 | 7047 | 366275 | 0.006779087980342638 | inverse |
40000 | 12312 | 186930 | 0.020273009147809343 | inverse |
40000 | 7955 | 406492 | 0.0038919600508743103 | inverse |
40000 | 30487 | 183651 | 0.12652492621875186 | inverse |
20000 | 15273 | 398083 | 0.029298479086019753 | inverse |
40000 | 10444 | 374869 | 0.007274350239683729 | inverse |
20000 | 6227 | 190574 | 0.010173352346070292 | inverse |
20000 | 17410 | 301720 | 0.05023003115471298 | inverse |
20000 | 7250 | 38996 | 0.06739473279310698 | inverse |
40000 | 23191 | 36592 | 0.36744539858439007 | saturating |
40000 | 5453 | 31925 | 0.02328520673453406 | inverse |
40000 | 37480 | 353574 | 0.09932506349448773 | inverse |
20000 | 12140 | 349448 | 0.02108748655021634 | inverse |
40000 | 19641 | 107432 | 0.08977047830255418 | inverse |
10000 | 7943 | 283342 | 0.022266818544373936 | inverse |
40000 | 29796 | 198374 | 0.11188482563239134 | inverse |
40000 | 5127 | 195297 | 0.0033648915497933923 | inverse |
20000 | 10374 | 412166 | 0.013055404375906795 | inverse |
10000 | 7008 | 70717 | 0.06944873792723108 | inverse |
40000 | 10731 | 194955 | 0.01476678733553897 | inverse |
20000 | 8621 | 245953 | 0.015108911255402455 | inverse |
40000 | 16621 | 211317 | 0.03268284626887567 | inverse |
20000 | 17989 | 51783 | 0.3124617355116544 | saturating |
20000 | 9291 | 191523 | 0.022535852351936843 | inverse |
20000 | 14845 | 155891 | 0.07068208716346677 | inverse |
40000 | 38202 | 245191 | 0.14880162852633252 | inverse |
40000 | 21936 | 330820 | 0.036363286379299926 | inverse |
20000 | 9957 | 130570 | 0.037965018380945084 | inverse |
40000 | 37872 | 404965 | 0.08854397194819305 | inverse |
20000 | 18360 | 151812 | 0.11102205359260138 | inverse |
20000 | 17075 | 153377 | 0.09504541913063888 | inverse |
40000 | 36233 | 301134 | 0.10899053984272783 | inverse |
20000 | 6885 | 70435 | 0.03365033364094555 | inverse |
40000 | 37439 | 246513 | 0.1421505885085168 | inverse |
20000 | 10116 | 418958 | 0.01221285379441376 | inverse |
40000 | 6032 | 98578 | 0.009227470632392622 | inverse |
40000 | 30655 | 63731 | 0.3686310527843593 | saturating |
10000 | 7569 | 19851 | 0.28859886655584105 | saturating |
40000 | 28335 | 307233 | 0.06533089096874359 | inverse |
40000 | 9793 | 53230 | 0.04504172881833553 | inverse |
40000 | 32412 | 162246 | 0.16187421323175918 | inverse |
40000 | 5029 | 67459 | 0.009372671178048889 | inverse |
40000 | 10225 | 117243 | 0.02229357509616779 | inverse |
10000 | 7494 | 284318 | 0.019752543279004494 | inverse |
40000 | 19901 | 264810 | 0.03738999669574412 | inverse |
20000 | 19229 | 259973 | 0.07111400818546541 | inverse |
40000 | 29428 | 143071 | 0.1513247240880402 | inverse |
40000 | 30237 | 269369 | 0.08485350662102914 | inverse |
40000 | 12682 | 251576 | 0.015982558352148058 | inverse |
40000 | 14073 | 411428 | 0.012034264136130743 | inverse |
40000 | 10847 | 134478 | 0.021872984614583795 | inverse |
40000 | 20606 | 105286 | 0.10082234010219783 | inverse |
